[1218/024754.110:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0116/195610.657:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir64340_1178484618\Crashpad: The system cannot find the file specified. (0x2)
[0116/195709.530:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir59076_1587370804\Crashpad: The system cannot find the file specified. (0x2)
[0116/195808.541:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir114900_542590007\Crashpad: The system cannot find the file specified. (0x2)
[0116/195954.466:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir124196_1576793941\Crashpad: The system cannot find the file specified. (0x2)
[0116/203935.728:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir46780_979612190\Crashpad: The system cannot find the file specified. (0x2)
[0116/204008.461:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir114744_460847124\Crashpad: The system cannot find the file specified. (0x2)
[0116/204308.102:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir69196_384533568\Crashpad: The system cannot find the file specified. (0x2)
[0116/204710.952:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir53932_760147450\Crashpad: The system cannot find the file specified. (0x2)
[0116/204742.788:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir116032_30712683\Crashpad: The system cannot find the file specified. (0x2)
[0124/233109.004:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir114252_2122381940\Crashpad: The system cannot find the file specified. (0x2)
[0124/233138.799:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\V18NHA~1.VF-\AppData\Local\Temp\scoped_dir101476_177276310\Crashpad: The system cannot find the file specified. (0x2)
